row,field,value,issue_type,reason,source_skill,action,record_id,process_result,raw_record
5,id,1005,duplicate,按字段 id 判断为重复记录,csv-json-data-cleaning-pipeline,drop,1005,dropped,"{""id"": 1005, ""title"": ""重复标题E"", ""content"": ""这条记录是重复id，应被识别。"", ""publish_date"": ""2026-06-05"", ""phone"": ""13500135000"", ""amount"": ""50.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_e"", ""score"": 70}"
21,title+source,重复组合标题|site_combo,duplicate,"按字段 title, source 判断为重复记录",csv-json-data-cleaning-pipeline,drop,1021,dropped,"{""id"": 1021, ""title"": ""重复组合标题"", ""content"": ""这条记录title和source重复。"", ""publish_date"": ""2026-06-21"", ""phone"": ""12000120000"", ""amount"": ""270.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_combo"", ""score"": 93}"
8,title,,missing_value,缺失值保留并标记,missing-value-checker,mark,1007,marked,"{""id"": 1007, ""title"": null, ""content"": ""标题为空但内容存在，用于测试必填字段。"", ""publish_date"": ""2026-06-07"", ""phone"": ""13300133000"", ""amount"": ""77.70"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_g"", ""score"": 72}"
7,content,,missing_value,缺失值行已按规则删除,missing-value-checker,drop,1006,dropped,"{""id"": 1006, ""title"": ""标题F"", ""content"": null, ""publish_date"": ""2026-06-06"", ""phone"": ""13400134000"", ""amount"": ""66.60"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_f"", ""score"": 65}"
20,source,,missing_value,缺失值已按规则填充,missing-value-checker,fill,1019,repaired,"{""id"": 1019, ""title"": ""来源缺失"", ""content"": ""来源为空，应填充默认值。"", ""publish_date"": ""2026-06-19"", ""phone"": ""12200122000"", ""amount"": ""250.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": null, ""score"": 90}"
9,publish_date,2026-02-30,standardization_failed,date_standardization_failed,format-standardizer,standardize,1008,,"{""id"": 1008, ""title"": ""日期错误A"", ""content"": ""这条记录日期格式错误。"", ""publish_date"": ""2026-02-30"", ""phone"": ""13200132000"", ""amount"": ""88.80"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_h"", ""score"": 80}"
10,publish_date,not-a-date,standardization_failed,date_standardization_failed,format-standardizer,standardize,1009,,"{""id"": 1009, ""title"": ""日期错误B"", ""content"": ""这条记录日期无法解析。"", ""publish_date"": ""not-a-date"", ""phone"": ""13100131000"", ""amount"": ""99.90"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_i"", ""score"": 83}"
11,phone,1300013,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1010,,"{""id"": 1010, ""title"": ""手机号错误A"", ""content"": ""手机号位数不足。"", ""publish_date"": ""2026-06-10"", ""phone"": ""1300013"", ""amount"": ""120.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_j"", ""score"": 85}"
12,phone,13A00131000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1011,,"{""id"": 1011, ""title"": ""手机号错误B"", ""content"": ""手机号包含非法字符。"", ""publish_date"": ""2026-06-11"", ""phone"": ""13A00131000"", ""amount"": ""130.00"", ""status"": ""valid"", ""category"": ""news"", ""source"": ""site_k"", ""score"": 86}"
13,phone,12900129000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1012,,"{""id"": 1012, ""title"": ""金额错误A"", ""content"": ""金额字段无法转换。"", ""publish_date"": ""2026-06-12"", ""phone"": ""12900129000"", ""amount"": ""abc"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_l"", ""score"": 75}"
14,phone,12800128000,standardization_failed,phone_standardization_failed,format-standardizer,standardize,1013,,"{""id"": 1013, ""title"": ""金额错误B"", ""content"": ""金额为负数，不符合规则。"", ""publish_date"": ""2026-06-13"", ""phone"": ""12800128000"", ""amount"": ""-20.00"", ""status"": ""valid"", ""category"": ""finance"", ""source"": ""site_m"", ""score"": 74}"
