id,title,content,publish_date,phone,amount,status,category,source,score
1001,新闻标题A,这是一条正常的新闻内容，字段较完整。,2026-06-01,13800138000,120.50,valid,news,site_a,88
1002,金融标题B,金融市场数据更新，内容有效。,2026/06/02,139-0013-9000,¥300.00,有效,finance,site_b,92
1003,医疗标题C,医疗资讯内容较完整，可用于测试。,2026年06月03日,13700137000,88元,pending,medical,site_c,76
1004,法律标题D,法律案例内容完整，字段有效。,2026-06-04,13600136000,1000.5,valid,law,site_d,81
1005,重复标题E,这条记录用于测试id重复。,2026-06-05,13500135000,50.00,valid,news,site_e,70
1005,重复标题E,这条记录是重复id，应被识别。,2026-06-05,13500135000,50.00,valid,news,site_e,70
1006,标题F,,2026-06-06,13400134000,66.60,valid,news,site_f,65
1007,,标题为空但内容存在，用于测试必填字段。,2026-06-07,13300133000,77.70,valid,news,site_g,72
1008,日期错误A,这条记录日期格式错误。,2026-02-30,13200132000,88.80,valid,news,site_h,80
1009,日期错误B,这条记录日期无法解析。,not-a-date,13100131000,99.90,valid,news,site_i,83
1010,手机号错误A,手机号位数不足。,2026-06-10,1300013,120.00,valid,news,site_j,85
1011,手机号错误B,手机号包含非法字符。,2026-06-11,13A00131000,130.00,valid,news,site_k,86
1012,金额错误A,金额字段无法转换。,2026-06-12,12900129000,abc,valid,finance,site_l,75
1013,金额错误B,金额为负数，不符合规则。,2026-06-13,12800128000,-20.00,valid,finance,site_m,74
1014,枚举错误A,状态字段不在允许范围内。,2026-06-14,12700127000,200.00,done,news,site_n,78
1015,枚举错误B,类别字段不在允许范围内。,2026-06-15,12600126000,210.00,valid,sports,site_o,79
1016,低质量内容,短,2026-06-16,12500125000,220.00,valid,news,site_p,60
1017,分数异常A,分数字段超过最大值。,2026-06-17,12400124000,230.00,valid,news,site_q,120
1018,分数异常B,分数字段小于最小值。,2026-06-18,12300123000,240.00,valid,news,site_r,-5
1019,来源缺失,来源为空，应填充默认值。,2026-06-19,12200122000,250.00,valid,news,,90
1020,重复组合标题,这条记录用于组合字段去重。,2026-06-20,12100121000,260.00,valid,news,site_combo,91
1021,重复组合标题,这条记录title和source重复。,2026-06-21,12000120000,270.00,valid,news,site_combo,93
1022,空值占位,内容为N/A，应按缺失处理。,2026-06-22,11900119000,280.00,valid,news,site_s,84
1023,正常标题T,状态为中文待处理，应映射为pending。,2026-06-23,11800118000,290.00,待处理,medical,site_t,82
1024,正常标题U,金额带千分位和货币符号，应标准化。,2026-06-24,117 0011 7000,"¥1,200.30",valid,finance,site_u,89
